it,T,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,0.09264677851328126,86,25,49,52,53,79,76,99,97,84,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,86,25,49,52,53,79,76,99,97,84,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,86,25,49,52,53,79,76,99,97,84,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
9,0.09264677851328126,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
10,0.07874976173628907,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
10,0.07874976173628907,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
10,0.07874976173628907,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
10,0.07874976173628907,84,25,49,52,53,84,99,97,76,79,60,64,90,94,95,47,43,41,20,35,33
