it,T,e,-,-,-,-,-
0,1e-11,20,20,21,29,31,14
0,1e-11,20,20,21,29,31,14
0,1e-11,20,20,21,29,31,14
1,6.4e-12,20,20,21,29,31,14
1,6.4e-12,20,20,21,29,31,14
1,6.4e-12,20,20,21,31,29,14
2,4.096000000000001e-12,20,20,21,31,29,14
2,4.096000000000001e-12,20,20,21,31,29,14
2,4.096000000000001e-12,20,20,21,31,29,14
3,2.621440000000001e-12,20,20,21,31,29,14
3,2.621440000000001e-12,20,20,21,31,29,14
3,2.621440000000001e-12,20,20,21,31,29,14
4,1.6777216000000008e-12,20,20,21,31,29,14
4,1.6777216000000008e-12,20,20,21,31,29,14
4,1.6777216000000008e-12,20,20,21,31,29,14
5,1.0737418240000007e-12,20,20,21,31,29,14
5,1.0737418240000007e-12,20,20,21,31,29,14
5,1.0737418240000007e-12,20,20,21,31,29,14
6,6.871947673600006e-13,20,20,21,31,29,14
